name,slide_mean,slide_std,patient_mean,patient_std,n_folds
Fusion_Smart_ABMIL_UNI_p4000_bsFull_binary_one_hot,0.6647796333673053,0.046268193679740985,0.6647796333673053,0.046268193679740985,5
EarlyEnsemble_WSI_ABMIL_VirchowMidnight_p4000_bs32_original_None,0.6546694343314963,0.053621550140902696,0.6546694343314963,0.053621550140902696,5
Fusion_Smart_MeanMIL_Midnight_p100_bs32_original_one_hot,0.6683205178493442,0.05473706669917656,0.6683205178493442,0.05473706669917656,5
WSI_MeanMIL_Virchow_p100_bsFull_original_None,0.6471805908731736,0.04767914997652592,0.6471805908731736,0.04767914997652592,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p100_bsFull_original_label_enc,0.6684498522870401,0.0456809333051604,0.6684498522870401,0.0456809333051604,5
WSI_TransMIL_Virchow_p100_bs32_binary_None,0.6608224018341624,0.06359784986267468,0.6608224018341624,0.06359784986267468,5
Fusion_Smart_TransMIL_Midnight_p4000_bsFull_original_label_enc,0.6499421102405513,0.07525791478074188,0.6499421102405513,0.07525791478074188,5
TSOnly_Fusion_Naive_ABMIL_Midnight_p1000_bs32_binary_one_hot,0.6351909972781209,0.030159223602026507,0.6351909972781209,0.030159223602026507,5
LossComp_ranking_Fusion_Naive_MeanMIL_Midnight_p1000_bs32_original_label_enc,0.6280878219709798,0.0648185675131347,0.6280878219709798,0.0648185675131347,5
Fusion_Smart_MeanMIL_Midnight_p1000_bsFull_original_one_hot,0.6606426087993752,0.06999209913091482,0.6606426087993752,0.06999209913091482,5
Fusion_Smart_TransMIL_UNI_p1000_bs32_original_one_hot,0.6644705580321772,0.0460149064007239,0.6644705580321772,0.0460149064007239,5
Fusion_Smart_ABMIL_UNI_p4000_bsFull_original_label_enc,0.6687165395503446,0.04573608033959955,0.6687165395503446,0.04573608033959955,5
EarlyEnsemble_Fusion_Naive_TransMIL_VirchowMidnight_p100_bs32_binary_one_hot,0.6588984033460515,0.06036516174666765,0.6588984033460515,0.06036516174666765,5
Fusion_Smart_TransMIL_UNI_p100_bsFull_original_label_enc,0.666730174029676,0.05036829696918545,0.666730174029676,0.05036829696918545,5
EarlyEnsemble_WSI_MeanMIL_VirchowMidnight_p100_bsFull_original_None,0.6525583508499088,0.05159203407473441,0.6525583508499088,0.05159203407473441,5
